material,sub_material,bin,instructions
Plastic,bean bag beans,red,Bean bag beans cannot be recycled. They should be bagged and placed in your red lid kerbside waste bin. Many house plant lovers reuse old bean bags beans to fill the bottom of heavy pots before placing the plant on top.
Plastic,biscuit tray,yellow,"Biscuit trays can be placed in your yellow lid recycling bin. The wrapping around the tray should be placed in your red landfill bin. While plastic biscuit wrapping could previously be recycled by dropping it off at one of the many REDcycle collection points in participating supermarkets, the scheme is currently on hold. Visit their websitefor more information."
Plastic,black plastic containers,red,Black plastics items such as meat trays and plastic plant pots go into the rubbish bin.   Black plastic items can not be detectedby the infra light that is used to sort plastics.
Plastic,blenders,dropoff,Blenders including stick blenders are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Plastic,blister packs,red,"Blister packs should be placed in your red lid kerbside rubbish bin, or can be dropped off for recycling at the following pharmacies:  Peak Pharmacy Corio Village, Corio Village Shopping Centre  Geelong Soul Pattinson Pharmacy, 133 Yarra St Geelong  Priceline Pharmacy East Geelong, 1 Ormond Rd, East Geelong  Bellarine Village Community Care Chemist, Shop 5,25-29 Bellarine Hwy, Bellarine Village Shopping Centre, Newcomb  Portarlington Pharmacy, 90 Newcombe St, Portarlington  Ocean Grove Terrace Pharmacy, 76A The Terrace, Ocean Grove  Pardeys Eastbrooke Pharmacy, 75-77 Roslyn Rd, Belmont  Kardinia Pharmacy, 2-18 Colac Rd, Belmont  Direct Chemist Outlet Highton, Hills Plaza, 46 Province Boulevard, Highton Due to high volume of uptake with this program we recommend you contact your chosen pharmacy before visiting to confirm they still have capacity to accept your blister packs. Rotary clubs of the Geelong Region, in collaboration with Pharmacycle, successfully applied for a City of Greater Geelong Community Environmental Sustainability Projects Grant to trial blister pack recycling across Geelong. This trial is for a period of 12 months and commenced in July 2023."
Plastic,bread bags,red,plastic bread bags should be placed in your red lid landfill bin.  You can reuse your empty bread bag as a small bin liner or pet poo bag.
Plastic,bread makers,dropoff,Bread Makers are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Plastic,bread tags,yellow,"Cardboardbread tags should be placed in your yellow lid kerbside recycling bin. As they are so small, it is best if you place them inside a larger paper item such as an envelope or paper bag first. Plastic bread tags should be placed in your red lid kerbside rubbish bin or dropped off at one of the below locations for recycling: - Urban Upcycle in Geelong - Bakers Delight in Geelong West - Surf Coast Hearing Clinic in Torquay - Bakers Delight in Belmont Aussie Bread Tags for Wheelchairs recycle plastic bread tags to raise funds to provide wheelchairs to those in need."
Plastic,bubble wrap,red,"Bubble wrap should be placed into your red landfill bin.  While bubble wrap could previously be recycled by dropping it off at one of the many REDcycle collection points in participating supermarkets, the scheme is currently on hold. Visit their websitefor more information."
Plastic,cassette tapes,red,Put in your rubbish bin.
Plastic,cat and dog food pouches,red,Cat and dog food pouches should be placed in the red landfill bin. Geelong Animal Welfare Society (GAWS) is seeking donations of the following: - Dry dog food - Wet and dry cat food - Treats such as schmackos and pigs' ears Find our more here.
Plastic,cd players,dropoff,CD players are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Plastic,cds,dropoff,"CDs are not recyclable through the kerbside recycling bin, however there are several recycling/reuse options; DVDs and CDs can be dropped off for recycling at the following Customer Service Centres:  163 High St Belmont (inside the library) 153a Pakington St Geelong West 2-8 Wyndham StreetDrysdale 137 Mercer Street (Wurriki Nyal) Geelong The Grove Centre 66-70 The Avenue Ocean Grove 230 Pioneer Road  Waurn Ponds (inside the library) Corio Shopping Centre  Corner Bacchus Marsh and Purnell Roads Corio Lara Library5 Walkers Rd Lara   Once processed, the discs are used in the production of concrete. DVD covers are turned into outdoor furniture, garden pots and worm farm containers. Every part can be recycled, even the soft plastic sleeves of DVD covers; they become bin liners. It's all processed at GT Recycling's Moolap facility, and the recycled products are used locally and overseas."
Plastic,cereal box liners,red,"Cereal box liners should be placed in your red landfill bin. While cereal box liners could previously be recycled by dropping them off at one of the many REDcycle collection points in participating supermarkets, the scheme is currently on hold. Visit their website for more information."
Plastic,chip packet,red,"Chip packets should be directed to your red landfill bin. While chip packets could previously be recycled by dropping them off at one of the many REDcycle collection points in participating supermarkets, the scheme is currently on hold. Visit their websitefor more information."
Plastic,christmas decorations,red,Broken ornaments(glass or plastic) cannot be recycled and must be placed in the general rubbish bin. Wrap broken glass ornaments in paper.
Plastic,cling wrap,red,"Cling wrap should be placed in your red landfill bin. While Glad, Coles and Woolworths Essentials cling wrap could previously be recycled by dropping it off at one of the many REDcycle collection points in participating supermarkets, the scheme is currently on hold. Visit their website for more information."
Plastic,coat hangers - plastic,dropoff,Plastic coat hangers can be donated to selected opportunity and voluntary shops. Damaged plastic coat hangers can be disposed of in your household garbage bin. These are NOT recyclable.
Plastic,coffee cup (takeaway),yellow,"There are two parts to a takeaway coffee cup: the cup and the plastic lid. This is how to sort them: 1. Cups must always be placed in the landfill bin. 2. White plastic lids can go into the recycling bin; black plastic lids must be placed into the landfill bin. This applies even if one or both parts of the cup have recycling symbols on them. The best way to minimise waste from coffee cups is to bring a reusable cup. While some cafes weren't accepting these during the pandemic, this is no longer the case. Find out more about recycling coffee cups through theSimply Cups initiative through 7-Eleven."
Plastic,coffee machines,dropoff,"If the coffee machine is still in good condition, contact your local op shop and ask them whether they will accept it or try selling or donating through an online marketplace. If the coffee machine no longer works, you may be able to have it repaired by one of the local appliance repair businesses or repair cafes operating across Geelong. If repair is not an option the air fryer is an e-waste item and must therefore be dropped off at yourlocal resource and recovery centre. This is a free service. Never place an unwanted coffee machine into your kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more."
Plastic,coffee pods,red,"Aluminium pods cannot be placed in the yellow recycling bin, even if coffee grounds are removed. This is because the pods are too small for processing.  Your options are therefore:  Recycle pods through a  free Terracycle recycling program(applies to some brands only) Place the pod in your red landfill bin.   In 2023, Planet Ark is planning to launch a product stewardship scheme for all brands of coffee pods called PODcycle. Reusable coffee pods are a great option for reducing your waste. They are available for use in a range of machines and, as you fill the pods yourself, you canchoose your own beans and compost them afterwards. Read our article about managing waste as an at-home barista."
Plastic,cooking oil container,yellow,Place in the recycling bin.
Plastic,dental floss containers,dropoff," Take dental floss containers to a TerraCycle public drop-off point or mail bulk quantities for free. Dental floss containers that are not recycled via TerraCycle must be placed in the red landfill bin, along with the used dental floss.  TerraCycle offers a Recycling Rewards Program for oral care products and packaging that can help you raise funds for your local school or charity. For more information, visit the TerraCycle website."
Plastic,deodorant roll-on,yellow,Place in yourrecycling bin.
Plastic,desk phones,dropoff,Desk phones are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Plastic,detergent bottles,yellow,Detergent bottles can be placed in your yellow lid recycling bin. Plastic lids should be removed and placed in the rubbish bin.    You can drop off up to 0.5 cubic metres of sorted excess recycling at the Geelong or Drysdale Resource Recovery Centres per visit for free.
Plastic,disposable nappies,red,Put in your rubbish bin.
Plastic,disposable razor blades,dropoff,"  Take any brand of used disposable razor and packaging to a  Terracycle public drop-off point or mail bulk quantities for free.       Used disposable razors that are not recycled via TerraCycle must be placed in the red landfill bin. Electric razors are classified as e-waste so the process for recycling them is different to a disposable razor (use the search bar to find these in our guide).       TerraCycle offers a Recycling Rewards Program for disposable razors and packaging that can help raise funds for your local school or charity. For more information, visit the TerraCycle website."
Plastic,dry pet food bags,red,Dry pet food bags should be placed in your red landfill bin. Geelong Animal Welfare Society (GAWS) is seeking donations of the following: - Dry dog food - Wet and dry cat food - Treats such as schmackos and pigs ears You can find out more here.
Plastic,dvd players,dropoff,DVD players are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Plastic,dvds,dropoff,"DVDs and CDs can be dropped off for recycling at the following Customer Service Centres:  163 High St Belmont (inside the library) 153a Pakington St Geelong West 2-8 Wyndham StreetDrysdale 137 Mercer Street (Wurriki Nyal)Geelong The Grove Centre 66-70 The Avenue Ocean Grove 230 Pioneer Road Waurn Ponds (inside the library) Corio Shopping Centre Corner Bacchus Marsh and Purnell Roads Corio Lara Library5 Walkers RdLara  Once processed, the discs are used in the production of concrete. CD covers are also used for this purpose, as well as to create building materials. DVD covers are turned into outdoor furniture, garden pots and worm farm containers. Every part can be recycled, even the soft plastic sleeves of DVD covers; they become bin liners. It's all processed at GT Recycling's Moolap facility, and the recycled products are used locally and overseas."
Plastic,e cigarettes (vapes),dropoff,"E cigarettes (vapes) must not be placed in any of your kerbside bins. If the battery can be removed safely it can be taken to one of many local battery drop off points. Hold onto vapes that cannot have the battery removed, or vapes that have had it removed, and check back on this page soon for updates on what to do with them.  Despite being a relatively new product, vapes are now one of the leading causes of truck, tip and recycling fires in Australia. Vapes are classified as e waste and cannot be placed in any kerbside recycling bin in Victoria. You can receive email updates on how to safely dispose of vapes, as well as other recycling tips by subscribing to Rethink Your Rubbish."
Plastic,electric fans,dropoff,Electric fans are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Plastic,flower seeding punnets,yellow,Flower seeding punnets can be placed in your yellow lid recycling bin as not as they are not black. Black plastic cannot be seen by optical sorters used in plastic recycling.
Plastic,foam meat trays,red,Put in yourrubbish bin.
Plastic,freezer bags,red,"Freezer bags should be placed in the red landfill bin. While freezer bags could previously be recycled by dropping them off at one of the many REDcycle collection points in participating supermarkets, the scheme is currently on hold. Visit their websitefor more information."
Plastic,frozen food bags,red,"Frozen food bags should be placed in the red landfill bin. While frozen food bags could previously be recycled by dropping them off at one of the many REDcycle collection points in participating supermarkets, the scheme is currently on hold. Visit their websitefor more information."
Plastic,fruit and vegetable net bag,red,"Plastic netting bags, which you typically see on fruit and vegetables, should be placed in your red landfill bin. While plastic net bags could previously be recycled by dropping them off at one of the many REDcycle collection points in participating supermarkets, the scheme is currently on hold. Visit their websitefor more information."
Plastic,fruit punnets,yellow,Fruit punnets can be placed in your yellow lid recycling bin. All clean rigid plastic bottles and containers can be placed in the recycling bin.
Plastic,garden hose,red,Put in your rubbish bin.
Plastic,hairdryers,dropoff,Hairdryers are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Plastic,hand food mixers,dropoff,Hand food mixers are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Plastic,inflatable plastic items,red,Place in the rubbish bin.
Plastic,laserlite sheets,dropoff,Cannot be recycled through the kerbside recycling bin. Laserlite sheets can be taken to either the Geelong or Drysdale Resource and Recovery centres. Disposal fees apply.
Plastic,liquid paper and correction tape,dropoff,"Liquid paper and correction tape can be dropped off for free at Officeworks stores. They also accept pens, felt tip pens, highlighters, textas, markers, mechanical pencils, fountain pens and ink cartridges. Alternatively, these items can be placed in your red lid landfill bin. As part of thierBring IT Back program Officeworks sends used writing instruments collected in store to TerraCycle. Pens and markers can be used to make outdoor furniture, and watering cans, as well as many other things. Find out morehere."
Plastic,magazine and newspaper wrapping (plastic),red,"Magazine and newspaper wrapping should be placed in the red landfill bin. While these items could previously be recycled by dropping them off at one of the many REDcycle collection points in participating supermarkets, the scheme is currently on hold. Visit their websitefor more information."
Plastic,margarine and butter containers,yellow,Margarine and butter containers can be placed in your yellow lid recycling bin. Lid off.  All clean rigid plastic bottles and containerscan be placed in the recycling bin.
Plastic,milk carton,red,"Place in yourrubbish bin. Any cardboard container designed to hold liquids such as coffee cups, milk or juice cartons cannot be recycled in your kerbside recycling bin.   There is no facility in Australia that can separate the different components."
Plastic,oral care products,dropoff,TerraCycle and Colgate® have partnered to create a free recycling program for oral care product packaging as well as a fundraising opportunity for participants. The City is investigating the establishment of Geelong based drop off location. In the meantime visit the TerraCycle site for details.
Plastic,outdoor furniture - plastic,dropoff,"Drop off for free at the Drysdale or Geelong Resource Recovery Centre for recycling. Alternatively, residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Plastic,padded envelope bags,red,Place in the rubbish bin
Plastic,"pens, highlighters, markers",dropoff,"The following items can be dropped off for free at Officeworks stores: pens, felt tip pens, highlighters, textas, markers, mechanical pencils, correction tape, liquid paper, fountain pens and ink cartridges. Alternatively, these items can be placed in your red lid landfill bin. As part of thierBring IT Back program Officeworks sends used writing instruments collected in store to TerraCycle. Pens and markers can be used to make outdoor furniture, watering cans, as well as many other things. Find out more here."
Plastic,photographic film negatives,dropoff,"Photographic film negativescan be recycled by dropping them off at the Wurriki Nyal Civic Precinct at 137-149 Mercer Street, Geelong, during opening hours. They should be placed in the dedicated x-ray slot in the recycling station located in the foyer.   X-rays and photographic film negatives are recycled here in Australia. They are a valuable source of silver and plastic."
Plastic,photographs,red,Put in your rubbish bin.
Plastic,plastic australia post satchels,red,"Plastic Australia Post satchels should be placed in the red landfill bin. While satchels could previously be recycled by dropping them off at one of the many REDcycle collection points in participating supermarkets, the scheme is currently on hold. Visit their websitefor more information."
Plastic,plastic bags,red,Plastic bags should be placed in the red landfill bin. Many plastic bags now have a reusable alternative.
Plastic,plastic bottles,yellow,"Remove the plastic bottle tops and place the empty plastic bottles in the recycling bin. Place plastic lids that are bigger than a credit card in the recycling bin. Place smaller plastic lids in the rubbish bin.    The tops or lids are made from a different type of plastic from the bottle. Hence they need to be separated.  They are also to small and lightweight for current recycling technology to sort.   There are organisations that will recycle plastictops, such as Lids4Kids. However,it’s advisable to call first to ensure they can accept them as they often reach their limits quickly.   You could also set up your own collection box through your local community group, workplace or school. For details contactTerracycle ."
Plastic,plastic buckets,dropoff,Plastic buckets can be recycled at the Geelong orDrysdale Resource Recovery centres
Plastic,plastic cake trays,yellow,Place in the recycling bin
Plastic,plastic clothes pegs,red,Place in your general rubbish bin. They can't go in the recycling bin because they are also to small and lightweight for current recycling technology to sort.
Plastic,plastic code number 1 pet,yellow,"Plastic marked with a number 1, also known as PET (Polyethylene terephthalate) can be placed in your recycling bin.Remove any plastic tops first.  PET is the clear tough plastic found in items such as soft drink, water andjuice bottles. Excess PET bottles (up to 0.5 cubic metres) can be dropped off at either the Drysdale or Geelong Resource Recovery Centres for free. Plastic lids smaller than a credit card should be placed in your red lid waste bin or can be recycled through Lids4Kids."
Plastic,plastic code number 2 hdpe,yellow,"Plastic marked with a number 2, also known as HDPE (High-density polyethylene) can be placed in your recycling bin.Remove any plastic tops first. HDPE is the common white or coloured plastic used in items such as milk containersor shampoo bottles. Excess HDPE bottles (up to 0.5 cubic metres) can be dropped off at either theDrysdaleorGeelongResource Recovery Centres for free. Plastic lids smaller than a credit card should be placed in your red lid waste bin or can be recycled throughLids4Kids."
Plastic,plastic code number 3 pvc,yellow,"Plastic number 3, PVC (Polyvinyl chloride or plasticised polyvinyl chloride) cannotbe placed in your kerbside recycling bin. Place in your red lid kerbside waste bin. PVC is found in rigid clear plastic such as cordial bottles."
Plastic,plastic code number 4 ldpe,yellow,Plastic number 4 LDPE (Low density polyethylene) cannotbe placed in your recycling bin. Place in your red lid kerbside waste bin. LDPE items are most commonly known as 'soft plastics'. LDPE is used to make products such as plastic bags and sandwich bags.
Plastic,plastic code number 5 pp,yellow,"Plastic number 5, also known as PP (Polypropylene) can be placed in your recycling bin. Make sure to remove any lids first. PP is used to make hard but flexible plastic such as microwaveware, takeaway containers, as well as some yoghurt and ice cream containers. Excess PP items (up to 0.5 cubic metres) can be dropped off at either theDrysdaleorGeelongResource Recovery Centres for free. Plastic lids smaller than a credit card should be placed in your red lid waste bin or can be recycled throughLids4Kids."
Plastic,plastic code number 6 ps,red,"Plastic number 6 is also known as PS or Polystyrene. Small items such as foam hot drink cups and foam take way containers mut be placed in your red lid waste bin.No polystyrene can be recycled using your yellow lid recycling bin.  Large pieces of polystyrene, known as white expanded polystyrene (EPS) or styrofoam can be dropped off for free at Geelong Resource Recovery Centre. White expanded polystyrene (EPS) can be identified by looking for the small beads of foam that are released when it is broken into pieces. You can drop of white EPS packaging for small and large appliances, as well as white polystyrene fish or fruit and vegetable boxes."
Plastic,plastic code number 7 other,red,"Plastic number 7 stands for 'Other' and covers any plastic type that is not plastics 1-6. Plastic 7 cannot be placed in your recycling bin. Place in your red lid kerbside waste bin. Acrylic and nylon, commonly found in clothing, are both Plastic 7."
Plastic,plastic cutlery,red,"Plastic forks, spoons and knives cannot go in your recycle bin because the utensils are the wrong shape to be properly separated by the sorting machines. Plastic cutlery may also be able to be washed and reused."
Plastic,plastic document sleeves,red,Plastic document sleeves should be placed in the red landfill bin. It may be possible to fix your plastic document sleeve with sticky tape.
Plastic,plastic food containers,yellow,Plastic food containers can be placed in your yellow lid recycling bin. All clean rigid plastic bottles and containerscan be placed in the recycling bin.
Plastic,plastic food wrapping,red,"Plastic food wrapping should be placed in the red landfill bin. Many manufacturers are investigating, or have already made the transition, from plastic wrapping to paper or cardboard. Keep an eye out for these changes in your local supermarket."
Plastic,plastic ice cream containers,yellow,Plastic ice cream containers can be placed in your yellow lid recycling bin. Remove the lid.  All clean rigid plastic bottles and containers can be placed in the recycling bin.
Plastic,plastic lunch box,yellow,Place in the recycling bin.
Plastic,plastic meat trays,yellow,Clear plastic meat trays can be placed in your yellow lid recycling bin. Just a quick rinse. Remove any plastic film. Place black plastic meat trays in your rubbish bin.
Plastic,plastic plant pots,yellow,"Place in your recycling bin as long as they are not black.  Black plasticplant pots cannot be separated by the optical sorting machinery. Thay can be recycled at participating nurseries or should be placed in your red lid waste bin. Many local nurseries and plant retailers participate in PP5, a national stewardship scheme to recycle plant pots and tags. You can find your closet location here."
Plastic,plastic spray nozzles,yellow,Sray nozzles contain a metal spring. Separate spray nozzles from the bottle. Place thebottle in the recycling bin. Put the spray nozzlein the rubbish bin.
Plastic,plastic straws,yellow,"Plastic straws go in yourrubbish bin. There are many plastic straw alternatives available, such as paper, bamboo and metal."
Plastic,plastic take away food containers and lids,yellow,Takeaway container should be empty and placed in your yellow lid recycling bin with the lid off.
Plastic,plastic tops/lids,yellow,"Always remove lids from from bottles or containers before recycling. Place plastic lids that are bigger than a credit card in the recycling bin.  Plastic lids smaller than this can be dropped off for recycling at Lids4Kids locations, or put in your red landfill bin at home. Find your nearest Lids4Kids drop off location at their Western Vic Facebook Page. Small plastic lids cannot be recycled through your yellow recycling bin as they are too small to be sorted by our processor and count as contamination."
Plastic,plastic toys,dropoff,"If still in good condition, consider giving toys a second life. Op shops or charity groups likeGeelong Mumsaccept specific toys, otherwise give them to friends or post them online.  Toys are not accepted in your kerbside recycling bin.  Many toys without batteries can be recycled through retailer Big W's Toys for Joy program. Otherwise place them in your red top waste bin. Toys with batteries are classified as e waste and cannot be placed in any kerbside bin. They can be dropped off for free at eitherDrysdaleorGeelongResource Recovery Centres. Big W's Toys for Joy program turns toys into playgrounds. Find out more here."
Plastic,plastic vegetable punnet,yellow,Plastic vegetable punnets should be empty and placed in your yellow lid recycling bin.
Plastic,plastic washing or laundry baskets,dropoff,Plastic washing or laundry baskets can be recycled at the Geelong or Drysdale Resource Recovery Centres.
Plastic,polystyrene,dropoff,"White expanded polystyrene (EPS) or styrofoam can be dropped off for free at Geelong Resource Recovery Centre. White expanded polystyrene (EPS) can be identified by looking for the small beads of foam that are released when it is broken into pieces.  You can drop of white EPS packaging for small and large appliances, as well as white polystyrene fish or fruit and vegetable boxes.  Alternatively, dispose of large pieces of EPS in your red landfill bin. Small EPS items, such as bean bag beans and polystyrene cups, must also be placed in your red landfill bin. EPS that is any colour other than white must also be placed in your red landfill bin. No type of polystyrene can be recycled using your yellow lid recycling bin. GDP Industries in North Geelong sorts, shreds and melts the polystyrene into 15 kilogram cubes. The cubes are used overseas to make picture frames and cornice moulding.  Find out more."
Plastic,polystyrene cup,red,Put in your rubbish bin.
Plastic,polystyrene meat trays,red,Put in your rubbish bin.
Plastic,polystyrene packaging,dropoff,"White expanded polystyrene (EPS) or styrofoam can be dropped off for free at Geelong Resource Recovery Centre. White expanded polystyrene (EPS) can be identified by looking for the small beads of foam that are released when it is broken into pieces. You can drop of white EPS packaging for small and large appliances, as well as white polystyrene fish or fruit and vegetable boxes. Alternatively, dispose of large pieces of EPS in your red landfill bin. EPS that is any colour other than white must also be placed in your red landfill bin. No type of polystyrene can be recycled using your yellow lid recycling bin. GDP Industries in North Geelong sorts, shreds and melts the polystyrene into 15 kilogram cubes. The cubes are used overseas to make picture frames and cornice moulding. Find out more."
Plastic,potting mix and compost bags,red,"Potting mix and compost bags should be placed in the red landfill bin. While these items could previously be recycled by dropping them off at one of the many REDcycle collection points in participating supermarkets, the scheme is currently on hold. Visit their websitefor more information."
Plastic,prima drink cartons,red,"Place in your kerbside rubbish bin. Any cardboard container designed to hold liquids such as coffee cups, milk or juice cartons cannot be recycled in your kerbside recycling bin. There is nofacility in Australia that can separate the different components."
Plastic,pvc pipe,red,Put in your garbage bin.
Plastic,pvc piping,red,Place in your red lid waste bin. PVC piping cannot be place in your recycling bin.
Plastic,reading glasses and spectacles,dropoff,Some charity shops will take glasses. These can also be recycled through Recycle for Sight. Please remove the glasses from any cases and pop them in a padded bag or bubble wrap. Post to: Reply Paid 3021 Lions Recycle for Sight PO Box 3021 CLONTARF MDC 4019 More information is available at Lions Australia Recycle for Sight
Plastic,shampoo bottles,yellow,Shampoo bottles should be empty and placed in your yellow lidrecycling bin. Plastic lids should be removed from bottles and placed in the rubbish bin.
Plastic,silicone kitchen utensils,red,"These item go in the general waste bin. There are no recycling options available. Silicone kitchen utensils include such items as tongs, spatulas, ladles, whisks and mix spoons."
Plastic,snap lock bags / zip lock bags,red,"Zip lock bags should be placed in the red landfill bin. While these items could previously be recycled by dropping them off at one of the many REDcycle collection points in participating supermarkets, the scheme is currently on hold.  Visit their websitefor more information."
Plastic,strapping (plastic),red,Put in the red lid garbage bin. Strapping can not be recycledthrough your recycling bin as it gets tangled in the sorting machinery.
Plastic,suitcases and luggage,dropoff,"If still in good condition, you may wish to donate your suitcase to a local op shop or advertise online community ‘freecycling’ group.   If your suitcase is in poor condition, you may wish to recycle it through terracycle. Otherwise, you can: - place your suitcase in your red lid kerbside waste bin if it fits - drop off at either the Geelong or Drysdale Resource Recovery Centres (charges apply), or  - book free hard waste collection (two free collections per address each year). Terracycle offer recycling service for a wide range of items, some are free, some are paid. Find out more here."
Plastic,takeaway container,yellow,Takeaway container should be empty and placed in your yellow-topped bin with the lid off.
Plastic,tetra pak,red,"Place in your kerbside rubbish bin. Any cardboard container designed to hold liquids such as coffee cups, milk or juice cartons cannot be recycled in your kerbside recycling bin.  There is nofacility in Australia that can separate the different components."
Plastic,toothpaste tube,dropoff," Take empty toothpaste tubes to aTerraCycle public drop-off point or mail bulk quantities for free. Toothpaste tubes that are not recycled via TerraCycle must be placed in the red landfill bin.  TerraCycle offers a Recycling Rewards Program for oral care products and packaging that can help you raise funds for your local school or charity. For more information, visit the TerraCycle website."
Plastic,tupperware,yellow,Place Tupperware marked 1-5 in your recycling bin.
Plastic,vhs tapes,red,Place in the rubbish bin. 
Plastic,video cassette cover,red,Place in the rubbish bin.
Plastic,video tape,red,Put in your rubbish bin. There is no recycling option currently available. Video tapes don’t get recycled because its not financially viable. The collection system and the machinery  would cost  more the than value of the materials recovered. Also the feedstock would soon run dry as VHS tapes are no longer produced on mass.
Plastic,washing basket,dropoff,Washing baskets are not accepted in the kerbside recycling bin.They are too bulky to be sorted by the machinery at the recycling facility. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres.
Plastic,wine casks,yellow,Place the cardboard packaging into the yellow lid recycling bin. Place theplastic skin in the kerbside rubbish bin.
Plastic,x-rays,dropoff,"X-rays can be recycled by dropping them off at the Wurriki Nyal Civic Precinct at 137-149 Mercer Street, Geelong, during opening hours. There is a dedicated x-ray slot in the recycling station located in the foyer. X-rays are recycled here in Australia. They are a valuable source of silver and plastic."
Plastic,yakult and small probiotic drink bottles,yellow,"Put in your yellow recycling bin. The aluminium foil top can be recycled too! Remove it, scrunch it, and put it inside an aluminium drink can so it does not get lost in the sorting process."
Plastic,yoghurt containers,yellow,Yoghurt containers should rinsed and placed in your yellow lid recycling binwith the lid off.
Second Hand,amplifiers,dropoff,"If the amplifier is still in good condition, contact your local op shop and ask them whether they will accept it or try selling it through an online marketplace. If the amplifier no longer works, you may be able to have it repaired through the business you purchased it from, or a specialist repairer. If repair is not an option the amplifier is an e-waste item and must therefore be dropped off at yourlocal resource and recovery centre. This is a free service. Neverthrow an unwanted amplifier into your red, yellow or green bin for collection.  Amplifiers can be dropped off for free at the Geelong or Drysdale Resource Recovery Centres. Take your e-waste to a better place. Find out more."
Second Hand,bedside tables,dropoff,"Think about selling or donating your item if it's still in good condition. Otherwise, book a free hard waste collection, or take to the Drysdale or Geelong Resource Recovery Centres (fees apply) for disposal. Residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Second Hand,blenders,dropoff,Blenders including stick blenders are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Second Hand,bread makers,dropoff,Bread Makers are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Second Hand,cabinets,dropoff,"Think about selling or donating your item if it's still in good condition. Otherwise, book a free hard waste collection, or take to the Drysdale or Geelong Resource Recovery Centres (fees apply) for disposal. Residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Second Hand,cassette players,dropoff,Cassette players are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Second Hand,cd players,dropoff,CD players are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
Second Hand,chairs,dropoff,"Think about selling or donating your item if it's still in good condition. Otherwise, book a free hard waste collection, or take to the Drysdale or Geelong Resource Recovery Centres (fees apply) for disposal. Residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
Second Hand,charities,dropoff,"Charities perform an important roll in the recycling and reusing process. Charitable organisations accept high quality second-hand furniture, clothing, books and household items in good condition. Donate items that are in good and useable condition. Otherwise, charities will have to spend precious resources in rubbish removal of unusable donated items, money that would otherwise be spent on programs and services. Before packing the car with household goods to donate to charity:  Always contact a charity before donating to verify that it will accept your items. Some charities are willing to pick items up others require donors to drop them off. Organisations that pick up items set their own schedules and may not be immediately available to come to your house."
Second Hand,clothing,red,"Clothes in good condition can be donated to charities or sold through online marketplaces. Clothes should not be placed in your yellow lid recycling bin. Clothes not suitable for reuse can be placed in your red lid bin. There are severalused textile recycling programs now available, some free, some paid."
Second Hand,coffee machines,dropoff,"If the coffee machine is still in good condition, contact your local op shop and ask them whether they will accept it or try selling or donating through an online marketplace. If the coffee machine no longer works, you may be able to have it repaired by one of the local appliance repair businesses or repair cafes operating across Geelong. If repair is not an option the air fryer is an e-waste item and must therefore be dropped off at yourlocal resource and recovery centre. This is a free service. Never place an unwanted coffee machine into your kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more."
